node	Australia	Canada	Germany	Ireland	Singapore	UK	USA
ERR5412542	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_19	6.225931074980923e-05	0.00015804336469823439	0.0002075133271677039	8.897935967527854e-05	0.0001325963821623012	0.9958277300075686	0.003522878247978176
SRR12051858	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_27	8.002138764462499e-12	1.6903143873464476e-11	0.9999999995842294	8.600674500076559e-12	8.022287026044268e-12	1.713016067478461e-10	2.0294078531116878e-10
Node_48	0.0005487539198212836	0.0031004154803991107	0.006403384343400839	0.0022077591943356254	0.0006146296988673279	0.6226113906294469	0.36451366673372876
SRR30795546	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_51	0.00012252280799500604	0.005522384224460591	0.01434803134850412	0.004599136166985078	0.0002974558385804439	0.5849058850406486	0.39020458457282614
Node_57	0.00012292030023120608	0.005523636322959277	0.014350005648727066	0.0046915121834903845	0.0002978680142078855	0.5849600221296406	0.39005403540074357
Node_78	0.00012200246580938038	0.005531496158440194	0.014345671762486733	0.004527913412713292	0.0002965661084141315	0.5856265507745161	0.3895497993176202
Node_126	0.00012350055707358216	0.005529114739780933	0.014351323141194491	0.004529994393283342	0.00029742518114687114	0.5854875837192006	0.38968105826832017
Node_18	6.210663212338337e-05	0.0001576422583461083	0.00020696818148420971	8.87498949037622e-05	0.00013224074817564025	0.9958390453819266	0.0035132469030402414
ERR5413214	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5671702	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ERR7253718	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Node_31	0.0007339267461540243	0.0017359629611480923	0.002105852191525765	0.0009435689273716509	0.0007419430841038465	0.9361762904435558	0.05756245564614088
Node_47	0.0007811518444009303	0.0022479167106402268	0.0033136522201071034	0.0013378758013820207	0.0008029814384964694	0.4780812761959571	0.5134351457890162
SRR30795413	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR19357831	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_52	2.3468242383355988e-08	5.421876060890645e-08	6.385231848635878e-08	0.9999978816920261	2.3681389775138703e-08	1.0163084349554148e-06	9.367788276169687e-07
Node_56	0.0014886085651824896	0.0031304717659154098	0.0032245505826857435	0.0015915447542297271	0.0014918883405313484	0.03031906481739306	0.9587538711740622
ERR5412644	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_77	0.0001228871025414621	0.005536873674617632	0.014342240055892885	0.004527187209750755	0.0002973864947718322	0.5857486059417815	0.3894248195206439
Node_81	0.2002800430197106	0.008196980785144272	0.008077289146407976	0.0040864383277153474	0.00400506826675843	0.05693263162950307	0.7184215488247603
Node_125	0.011813456433456892	0.02535545909693621	0.02695738205670481	0.013033325971919203	0.011856195168803658	0.5819971261902601	0.3289870550819191
Node_13	1.3881170510208473e-08	2.9311196079916526e-08	3.039307624940875e-08	1.490913181466423e-08	1.6225652261061355e-08	0.999999544172381	3.5110739206060636e-07
Node_17	6.239202044324372e-05	0.00015821614160234395	0.0002075160655367662	8.903251197002057e-05	0.00013250965638265217	0.9958319745049523	0.0035183590991126274
ERR5412907	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_30	2.1292706212427096e-11	4.3684427255617215e-11	4.3200599285626364e-11	2.1807879688126983e-11	2.130336937599317e-11	0.9999999993700079	4.787031504966048e-10
Node_32	5.2318051783611646e-11	1.111414586727798e-10	1.1634142568720728e-10	5.675515984962198e-11	5.2470663712838056e-11	3.952389860135194e-09	0.9999999956585833
Node_46	0.000781512188462271	0.0022484793738156905	0.0033139101336623687	0.0013380976556517917	0.0008033360950928598	0.47809141001313826	0.5134232545401768
ERR4020095	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR4020091	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SRR21939535	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_55	0.0014882238328596273	0.0031296444409792683	0.0032236683735248814	0.001591117610502109	0.0014915021550342361	0.030309209754758586	0.9587666338323413
ERR5414023	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_76	0.00012378244195607887	0.0055423455423493145	0.014339159032603195	0.004526574708286391	0.00029822166103998663	0.5858608228569977	0.3893090937567673
SRR25361418	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_80	0.20020282755063112	0.008195284447181915	0.008075604158381686	0.0040855899794838	0.004004243055020071	0.056920024962232675	0.7185164258470687
ERR5412109	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_114	4.3215994099146655e-08	8.872822274335234e-08	8.785196358643144e-08	4.431719163715869e-08	4.323962577041544e-08	0.9999987846316647	9.080153375149586e-07
Node_11	3.6597160365028097e-13	7.726719505078059e-13	8.01016993436926e-13	3.9298504457651306e-13	4.2754388155965634e-13	0.9999999999879907	9.249023275054353e-12
Node_12	0.00010611755896600812	0.0002161130454310252	0.00021101646954088508	0.00010735211828728959	0.00010611811179761849	0.9971528118053407	0.002100470890636588
Node_14	0.00045158329950881833	0.0009206244145800003	0.0009005396325247447	0.000457631652451297	0.00045373583541668595	0.9878073096300316	0.009008575535486944
Node_16	6.083255304831952e-08	1.239792370586897e-07	1.2121050156480525e-07	6.161604308325375e-08	6.10378843750509e-08	0.9999983605393995	1.210784381313049e-06
ERR5413997	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_29	1.950454586430912e-15	3.980610178957861e-15	3.901079145568565e-15	1.9801671464170637e-15	1.9507346422371093e-15	0.9999999999999459	4.0109897302729145e-14
ERR363423	0.0	0.0	0.0	0.0	0.0	0.0	1.0
