node	Argentina	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Norway	Portugal	Singapore	UK	USA
Node_139	5.1486835818327334e-11	3.309485804709885e-10	2.763255805864894e-10	5.438564362331231e-10	1.4787630874947302e-10	4.6245837569074945e-11	1.849954529660073e-10	1.3872978645317373e-10	1.0055041755873005e-10	4.624554088025699e-11	4.624555779645369e-11	4.624552745831625e-11	3.310665592883335e-10	0.9999999967526969	9.564847388072773e-10
ERR119103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR7253721	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5671703	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_168	7.570452488672243e-11	4.869583924350877e-10	4.0625524864539206e-10	7.995779274221462e-10	2.17407796270253e-10	6.799064513839755e-11	2.7198037670256165e-10	2.0396057627379982e-10	1.485763524001185e-10	6.799021877222139e-11	6.799067983433028e-11	6.799018921338672e-11	4.867342100156474e-10	0.9999999952136419	1.4172409454059332e-09
Node_170	7.807526898244876e-05	0.0005195950861972878	0.0004167111085906144	0.000820028843090683	0.00022296816920541214	6.972955859653755e-05	0.00027893662629796404	0.00020917702611804662	0.0001902912586977734	6.972961998346079e-05	6.97522294639448e-05	6.972909100711215e-05	0.0004991853013826304	0.9944735042327368	0.0020125865796491826
Node_175	3.5375572808617165e-07	2.3494146057383335e-06	2.0441479793061177e-05	3.716795419937166e-06	1.0106073039368115e-06	3.160504993566907e-07	1.2642853196721921e-06	9.480986957238624e-07	8.518663351152631e-07	3.1605063775828423e-07	3.161469079935378e-07	3.1604838000013523e-07	2.2625658089058045e-06	0.999902971608019	6.256522654568629e-05
Node_189	5.053353734979931e-08	3.9633750865308837e-07	2.6276506766477884e-06	5.149135894130322e-07	1.4000543666544074e-07	4.3784354214141646e-08	1.7514945366535468e-07	1.3134574757979355e-07	2.5113141255450926e-07	4.378612414763374e-08	4.3877181512295775e-08	4.378406059381467e-08	3.1345542008653237e-07	0.9999733352848218	2.1888960675170417e-05
ERR5413496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR1081309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
