node	Argentina	Australia	Brazil	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Norway	Portugal	Singapore	Spain	Taiwan	Thailand	UK	USA
SRR14719314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_550	3.046776977847938e-08	3.462566417389114e-07	3.159600059273207e-08	2.9851678388645146e-07	4.843577537592396e-07	9.484667036074103e-08	6.095317440112068e-08	5.541940902872168e-07	6.707389989735621e-08	4.791396821626212e-06	1.2239455951267645e-07	4.940376551251479e-08	0.0009893225910787516	1.2070479351217098e-07	0.9989694785345054	1.0345215980463511e-07	2.781140840614619e-05	6.231851125092947e-06
Node_552	0.0019216590439787178	0.03078943703704048	0.0020462925152389235	0.019882080221301213	0.025839743362951025	0.005762903211099133	0.0038444740201955454	0.023136455110687255	0.0038429631351397	0.05801097095291249	0.008052863952414776	0.18998067029563445	0.12198167369476853	0.00875186320369327	0.018505078558626722	0.005839720652724781	0.4034473583966612	0.0683637926349318
ERR5413362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_1381	0.0015450035301036798	0.09938618276879803	0.0016792136767399323	0.0187057337021806	0.022970630678859533	0.00463334469043506	0.0031028049415212752	0.060098013583785075	0.003090857430678121	0.055126692547494006	0.008962421972352832	0.020493649447422473	0.19610837163665037	0.007761791843195732	0.033595027835094236	0.004839544467294561	0.3856595678872088	0.07224114736018573
SRR25361472	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_18	1.8995382485831115e-10	5.138785543797094e-09	1.211601398551443e-09	1.5248820358078915e-09	2.5240189115267525e-09	5.696564469076424e-10	3.79858608005779e-10	1.7149703357315146e-09	3.7985693218335744e-10	5.6175513328305176e-09	7.599793124174199e-10	1.9159141731229314e-10	1.0877203117516256e-08	7.417964047332747e-10	8.331537803696132e-10	5.752623588210818e-10	0.9999999584175893	8.35228909958173e-09
ERR1045540	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_24	5.354418603291896e-18	5.630030474269537e-17	0.9999999999999988	4.2968350471907687e-17	7.114601828862119e-17	1.6057476489005787e-17	1.0707449254917053e-17	4.832209567187e-17	1.0707407048154057e-17	1.5834356419524687e-16	2.14210697183724e-17	5.354542846022986e-18	2.61524127613079e-16	2.0905550777325044e-17	2.3451035546123252e-17	1.621542822751343e-17	3.48002494041447e-16	1.8348020021434984e-16
Node_201	5.352519945788323e-18	5.628016489542189e-17	0.9999999999999988	4.295311398832114e-17	7.112079016319854e-17	1.605178256582125e-17	1.0703652432049616e-17	4.8304960751249445e-17	1.0703610240273652e-17	1.5828741612278743e-16	2.1413473879356693e-17	5.352643955566545e-18	2.6143128438984336e-16	2.0898137727240484e-17	2.3442719754477078e-17	1.620967829493493e-17	3.478789156022154e-16	1.8341492590362297e-16
Node_205	5.538425301521505e-18	5.823490475282593e-17	0.9999999999999988	4.444497464773447e-17	7.359097914506643e-17	1.660929797506298e-17	1.1075414953848395e-17	4.9982703385203484e-17	1.1075371296654885e-17	1.6378510295075615e-16	2.2157213187074246e-17	5.538553618445178e-18	2.705113955181576e-16	2.1623978222501167e-17	2.4256939449022746e-17	1.677267778681193e-17	3.5996155223171107e-16	1.8978534906733022e-16
SRR16943784	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_218	4.413710008344428e-14	4.640880391929697e-13	4.5654335629614175e-14	0.9999999999895904	5.864649670439327e-13	1.323636606310673e-13	8.826275911860607e-14	3.983246980055257e-13	8.82624112033359e-14	1.3052445574695482e-12	1.7657638855784155e-13	4.413812402672361e-14	2.155773035565739e-12	1.7232692791100254e-13	1.9330963431182035e-13	1.33665675323189e-13	2.8686233588494887e-12	1.51244640785876e-12
Node_227	9.20975923064269e-06	0.00010539453191724267	9.573768370540858e-06	0.0005442724070164395	0.00012262065070077445	2.761933727595727e-05	1.8418468385471297e-05	0.0006431008867595238	1.8417186541811278e-05	0.0002733118085935179	0.0015046982892172218	2.0274491121450964e-05	0.893875823122914	0.10177515815044605	4.8485103945932835e-05	2.790729313681775e-05	0.0006580910183836136	0.00031762372604294577
Node_228	2.6581476356717637e-05	0.00027961802350338243	2.749590422303002e-05	0.0002200168983366258	0.00035320082802275666	7.971573821160912e-05	5.315608142754855e-05	0.0002475804985155067	5.315585465924932e-05	0.000786094438674018	0.0001264933662527153	2.6739810783380158e-05	0.9933833168115509	0.0015004302170925352	0.00011653647712711036	8.050010581915217e-05	0.0017284708020332297	0.0009108966674105136
Node_236	3.0535246615402186e-06	3.211831550301865e-05	3.1585268821407204e-06	2.4527912745597898e-05	4.379386862866653e-05	9.158814085806107e-06	6.106269081496403e-06	2.7680561305692514e-05	6.108949490211428e-06	9.201929302018159e-05	1.2216257678732547e-05	3.0619617089994083e-06	0.0005856055495996427	1.192281636135833e-05	0.9985450698542999	9.25229612593213e-06	0.00020987238778199293	0.00037527284103906376
Node_549	1.5720221894144578e-08	1.8411658382619435e-07	1.6302259107147463e-08	1.772501521723414e-07	2.8146305220928833e-07	5.0625045409072725e-08	3.146082751346097e-08	4.17607074366577e-07	3.75916560835322e-08	4.360178620839639e-06	6.315050090897166e-08	2.5476126421503278e-08	0.0009899960583550184	6.228845780085583e-08	0.9989722288755192	5.8793270439947565e-08	2.6839492172044444e-05	5.153550104909709e-06
Node_551	1.78433713690707e-10	2.0574945002832517e-09	1.8557096521138905e-10	1.5083280022051255e-09	2.3761528755031103e-09	5.35108551651765e-10	3.568495114004108e-10	1.7095751863961855e-09	3.5682248026093707e-10	5.2969934302158115e-09	7.201012531646502e-10	3.4002194452662405e-09	9.196967423818387e-09	7.180665389411799e-10	9.54332697975108e-10	5.407170847651176e-10	0.9999999637508026	6.157463810621113e-09
ERR12065633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR14719126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_1380	0.001492949602015728	0.10544311256958025	0.0016168130528791441	0.01764998145614233	0.022475026626189516	0.004477239222343894	0.0029997703623017764	0.06333027849961971	0.0029868648856910306	0.05434508489465262	0.008972029068790379	0.01844221675983824	0.1877320829040604	0.007376109541337017	0.03308903138405772	0.004694800921910812	0.3909011682180631	0.07197544003052644
ERR5413944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_17	4.2245232853877556e-14	7.933155290542507e-13	1.565098293137347e-13	3.390704574848357e-13	5.61331128571296e-13	1.2669010094264114e-13	8.447953699766796e-14	3.813279766752993e-13	8.447918415914133e-14	1.2493129914325632e-12	1.6901256064694e-13	4.2427711700914196e-14	2.2411090922940676e-12	1.649569702289731e-13	1.851573889440466e-13	1.2793657378341975e-13	0.9999999999915982	1.6524501581214689e-12
ERR1045543	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_23	5.537238676624602e-18	5.82223622971358e-17	0.9999999999999988	4.443545215034719e-17	7.35752120466608e-17	1.6605739381162313e-17	1.107304201163839e-17	4.997199440534805e-17	1.107299836380618e-17	1.6375001147548065e-16	2.2152465933159792e-17	5.537366895799563e-18	2.704533975466035e-16	2.1619345211294595e-17	2.4251742272339547e-17	1.6769084188173527e-17	3.5988436313857964e-16	1.8974460778259047e-16
