node	Australia	Bangladesh	Canada	China	Czech Republic	Germany	Ireland	Portugal	Taiwan	UK	USA
Node_111	7.442641866573298e-10	7.442662344653159e-10	1.2772248432284908e-09	0.9999999697520124	7.442646073417283e-10	7.442644810541118e-10	1.5289841761234996e-09	7.442649099578388e-10	2.387163193383569e-09	1.4601359165812284e-08	6.7319319806908584e-09
Node_3	3.430066306931377e-09	3.390500379020767e-09	5.810062697887521e-09	1.0551637074950745e-08	3.3905004049377318e-09	3.4432487708237757e-09	6.965181560895761e-09	3.3905017835119085e-09	1.76514879441957e-08	0.999996786935973	3.155040840069737e-06
Node_4	6.822503744641091e-07	6.822325259164701e-07	1.1690940294947496e-06	2.123188087145006e-06	6.822325311314515e-07	6.822567168868896e-07	1.401525697846746e-06	6.822328085265371e-07	2.191322832842316e-06	0.000144938300863198	0.9998447653635325
SRR30795577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_13	0.0014574932103342	0.0014239870812007731	0.002440186785983446	0.004431615750058899	0.001423987092085722	0.0014686558463382628	0.0029253288459439902	0.0014239876710775044	0.01030602376417418	0.4711390906412096	0.5015596433115934
SRR30933971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
DRR317586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SRR19357810	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ERR1413196	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_53	4.019353159974987e-13	4.0193554011251077e-13	6.887687442870712e-13	0.9999999999840091	4.019355431849037e-13	4.019354749846779e-13	8.257052646220015e-13	4.0193570661150574e-13	1.2891728631371204e-12	7.542066803224563e-12	3.635538636742928e-12
SRR28113991	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5411973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
DRR317522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Node_62	0.012554261034424712	0.01255426803455321	0.021513368604282334	0.03907036284730008	0.012554276187912158	0.012554266000314668	0.02579051950021735	0.3511096381853756	0.04027132124999893	0.3584733421024381	0.11355437625318293
Node_65	0.022324431218253248	0.022324443708636333	0.038255833336085135	0.06947630178171642	0.02527702471492605	0.02232444004877449	0.04606833938313056	0.022326095816505232	0.0996247956026415	0.4192465112115482	0.21275178317778284
