node	Australia	Canada	Denmark	Germany	Japan	Norway	Singapore	Spain	Sweden	Taiwan	UK	USA
Node_17	0.008117764428724451	0.01031606597751399	0.007786727950971784	0.0014718034643702385	0.0015772007156964283	0.003321283826753492	0.039730078268827414	0.0014730554473422121	0.0015145409193624514	0.0031501746314265998	0.9091802328942025	0.012361071474808437
SRR19357815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SRR19357812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
DRR317381	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR494976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Node_53	0.0033838684715944783	0.001060403481147135	0.00013021743056500083	6.570080706554605e-05	0.00015504415885987194	0.0002581053203950672	0.0004450432487705022	0.00020310016392712492	0.0001025320448027958	0.00029791890336599945	0.9916948278031216	0.002203238166384736
Node_54	0.21649160477608428	0.03387957226750574	0.005881175592811659	0.0057532520635047305	0.005931243105782838	0.011741117172538578	0.01735071304620649	0.005755164814557275	0.00582375708190019	0.011550450415824995	0.4089871355072223	0.2708548141560609
Node_90	0.3424284094177355	0.01345766412749317	0.002351443277937418	0.002275251372231506	0.0023810915145241916	0.004693641714786273	0.006878378963572735	0.002276462624864708	0.002317761346544607	0.004575102398466845	0.599055963534211	0.017308829707631992
Node_118	0.0002924412225948688	0.00017694194138856474	4.0832689956283795e-05	2.3401606588039755e-05	4.754298328209614e-05	8.101914996430712e-05	0.0012032331317778212	2.370815581164951e-05	3.334815310220298e-05	5.174645442825212e-05	0.9971372001782193	0.0008885843328866319
ERR3198504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR567859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
