node	Australia	Canada	China	Germany	Japan	Singapore	Spain	Taiwan	UK	USA
ERR3198400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n51	0.0041109189498926705	0.002083948795975603	0.003999954328120483	0.0020253886334461973	0.006328790866487238	0.005854877714905031	0.00199848911758631	0.002002315866085908	0.03884383037277262	0.932751485354728
n5454	0.00036326839624220987	0.0001832811324539459	0.00035201249114645404	0.0001797648061728901	0.0005807450852046405	0.0006232044917296963	0.00017568908299694556	0.00017626985631495916	0.003540522096749379	0.9938252425609888
DRR317387	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n5656	1.7640393716379971e-07	8.733149107894368e-08	1.6815553145337026e-07	8.88057492746961e-08	3.761927601689145e-07	5.05665426984598e-07	8.356753728163483e-08	8.431503159416091e-08	1.9265273025954682e-06	0.9999965030352325
ERR337794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR494904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n55	2.0229724123872087e-11	1.032541991384155e-11	1.9792240665989827e-11	9.903395642565693e-12	2.9464749498427464e-11	2.0570611861638346e-11	9.903233412018388e-12	9.917144699201458e-12	0.9999999998254672	4.442641695366358e-11
n12	0.05425281694565108	0.05575631703510417	0.006545893154834734	0.0031640960226131686	0.009822796753231057	0.00879764672341204	0.0031280816522142253	0.15389012896154658	0.6575078889594419	0.04713433379195114
n1414	0.05420448753124772	0.05578673928215209	0.0065436028951863815	0.0031629556227188195	0.00981938333709147	0.008795166517839209	0.0031269430720231076	0.153743419688701	0.6576691141827583	0.047148187870281896
ERR5413721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2424	1.3321818291878865e-10	6.797852083471866e-11	1.303729031462097e-10	6.523080070448787e-11	1.940755274677447e-10	1.354913095468133e-10	6.523015014264876e-11	6.522941226653664e-11	0.9999999988505693	2.926038361971419e-10
n26	6.691042559818527e-13	3.414240979414453e-13	2.715297457485189e-12	3.276350182465401e-13	9.7493216792302e-13	6.813392741761369e-13	4.397468844528065e-13	3.276201833602465e-13	0.999999999992053	1.4698574757715934e-12
DRR317481	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n31	0.08253848979701861	0.004642527356679221	0.008996017537671524	0.07746808360409324	0.05647307721678681	0.05486480713736229	0.004422850003558415	0.004525557607059696	0.6724079610174774	0.03366062872229262
ERR485005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n4747	0.002480447967265358	0.001067047213331129	0.002096264923913395	0.001394372521458682	0.008516861623432504	0.7909220677707158	0.0010067098920051494	0.0010619727922429837	0.1795029213860501	0.01195133390958491
SRR14719282	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n49	2.3426879331668556e-07	1.194762432509341e-07	2.2914193085387235e-07	1.1477066582625151e-07	3.429260146177454e-07	2.472652496868944e-07	1.146393796170067e-07	1.1465724809692792e-07	0.9999979661270638	5.167274109478718e-07
n5151	1.3284900649218338e-08	6.76675508167447e-09	1.2980013064407127e-08	6.516097319187388e-09	1.9656383302035343e-08	1.500176699763283e-08	6.492073260842948e-09	6.495455490775457e-09	1.2152812486803479e-07	0.99999979127843
n5252	2.728824247011081e-05	1.3888457053644225e-05	2.664366034250432e-05	1.3394533535604962e-05	4.064721851349484e-05	3.2151517288009124e-05	1.3323730250623662e-05	1.3333742055892239e-05	0.00025099281859807394	0.999568336079892
SRR32028581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n5555	3.723361526325831e-05	1.8884912034888293e-05	3.624535637159823e-05	1.8335335603110413e-05	5.707286004683065e-05	5.180501548423745e-05	1.8111348127950326e-05	1.814320170699729e-05	0.00035056880647025787	0.9993935995488908
SRR21939514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR21939513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n6	1.2821525524462883e-14	6.542686583690822e-15	1.254677758539604e-14	6.2780068389218435e-15	1.8678409429038697e-14	1.3040097322578842e-14	6.277905953359262e-15	6.278536203193467e-15	0.9999999999998895	2.81612109790739e-14
n9	1.2821525524462674e-14	6.5426865836907146e-15	1.2546777585395834e-14	6.278006838921742e-15	1.867840942903839e-14	1.3040097322578629e-14	6.277905953359159e-15	6.2785362031933645e-15	0.9999999999998895	2.816121097907344e-14
SRR19357822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n1212	0.9928885730593587	0.0002800616293955318	0.00030379851927457433	0.00015175251616718395	0.00045244644791342636	0.0003203782246736145	0.00015166650041769747	0.0005020432336234126	0.004192011315113583	0.0007572685540623077
n15	0.05419944688133543	0.05577972706912093	0.006546010534424258	0.00316417789084186	0.009822955295027866	0.008797354009624551	0.0031281709973345444	0.1537208718373718	0.6576706670669095	0.047170618418009375
n17	0.05419709137429236	0.05581310878562486	0.006545360590079584	0.0031638566394069424	0.009821984948635355	0.008796607526561074	0.0031278510310753576	0.15371519084195806	0.6576730948908022	0.047145853371564135
n25	6.657057278384142e-11	3.396960513380771e-11	6.514516315595506e-11	3.25965395235226e-11	9.69816484923426e-11	6.770647742041451e-11	3.259601895952827e-11	3.25958457197058e-11	0.9999999994256208	1.4621731430788055e-10
ERR5413042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR337752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n3131	0.08254864782995255	0.004641359727809565	0.008993739346860891	0.07747938099232748	0.05645159737756211	0.05484332895056631	0.004421743004813477	0.00452440748053554	0.6724459352456463	0.03364986004392571
DRR317382	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SRR14719273	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
