node	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Singapore	South Korea	Spain	Taiwan	UK	USA
n6464	0.00821891755720681	0.004212708735009194	0.014785598685204102	0.0013701775333384884	0.0013962705108713567	0.05639795789117468	0.0014278737655140903	0.004311899882148929	0.004282694445625094	0.025450277493429766	0.029658120846575407	0.0028831570401318483	0.0154225502812552	0.8172473818194446	0.012934413513070503
n6666	6.988295716179777e-11	3.562438449499228e-11	8.494142057396121e-11	1.1646593016320022e-11	1.1657880654146848e-11	5.897184898562955e-11	1.1705925859677832e-11	3.0675356725976084e-11	3.547895513405472e-11	1.0401102327622687e-10	2.3279866131233545e-11	2.391838281776127e-11	7.423134149047547e-11	0.9999999993273513	9.662272078575359e-11
n67	6.292264968328986e-11	3.2090435963291685e-11	7.94553355761601e-11	1.048686149059197e-11	1.0512383225384105e-11	5.304181253471769e-11	1.0571737754826583e-11	2.8056804445593502e-11	3.195590143649986e-11	1.0184847891199178e-10	2.0940117808769628e-11	2.1579610109371707e-11	9.167844108772544e-11	0.9999999993568863	8.797318123831359e-11
n6969	1.4679045721693049e-09	7.528085562861545e-10	2.6862753135782824e-09	2.446761879257057e-10	2.496139612041007e-10	1.221470304224173e-09	2.5586630810410247e-10	7.782413202642896e-10	7.484660201838949e-10	0.9999999729997265	4.82539537133064e-10	5.156002920423087e-10	2.8357842310727498e-09	1.2435230807492537e-08	2.3257959675595777e-09
SRR14719313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR4020054	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4020059	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n73	6.804601190648836e-05	3.4688065129708454e-05	8.059775261727768e-05	1.1340251658014352e-05	1.1340342301603012e-05	5.7461733314052166e-05	1.1375702302691805e-05	2.9572339161421384e-05	3.4538772743403425e-05	9.546476464600791e-05	2.2682877391652886e-05	2.3258805029294843e-05	5.463772956987933e-05	0.00014517807678254862	0.999319816775446
n7373	1.7310270573207707e-08	1.3811641296338073e-08	2.3109123650562565e-08	2.8793163154267393e-09	2.8931216355624555e-09	1.4538516926708433e-08	2.916827261479685e-09	1.4379790155460565e-08	8.778579883982166e-09	3.426115528096877e-08	5.742378821328998e-09	5.958268483033991e-09	3.019382218947345e-08	8.468429424377345e-08	0.9999997385428933
n76	0.011342014343022639	0.047144426778578094	0.0349886498023211	0.001844347457864264	0.001958367528976352	0.00892230459718903	0.002085943382024646	0.061709594380990794	0.005692606826720936	0.09845047192412966	0.003549668064408553	0.0042196689596590235	0.14398795619183638	0.4194729802277821	0.15463099953449633
n9494	0.011341967832348962	0.047082019820431184	0.03498670859317233	0.0018442729625765156	0.0019582856773266133	0.00892195442497322	0.0020858534377899344	0.061783729109444574	0.0056923750784973574	0.09846398358084107	0.0035495570251487907	0.004219659232762039	0.14408260740496626	0.41933104779432495	0.15465597802539624
ERR5412538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n1212	6.247736345284135e-07	3.1839918210237663e-07	3.2960119263082906e-05	1.0412212473825884e-07	1.0412269757266959e-07	1.5029457003467761e-05	1.0444708320807573e-07	2.7139327730673294e-07	3.1712245625801395e-07	8.763354217398872e-07	2.082663646770583e-07	2.1355301454320078e-07	5.013568311272992e-07	0.9999475089503402	8.575813055874534e-07
SRR25637288	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n19	4.2638489036193934e-07	2.1729572259582956e-07	5.067835280062458e-07	7.105951775441857e-08	7.105990869250998e-08	3.600634841310624e-07	7.128128994884601e-08	1.852159226946754e-07	2.1642440420244153e-07	5.980661063319471e-07	1.421341283196386e-07	1.4574207226851035e-07	3.42157583909962e-07	3.001956087514562e-06	0.9999936443753533
SRR14719202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR5413903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR25637291	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n21	1.0688259613064455e-10	5.44698723262771e-11	1.2674767804523987e-10	1.781260493031019e-11	1.781270292740258e-11	9.02576992209392e-11	1.7868196927123512e-11	4.6428376690857404e-11	5.425145752690294e-11	1.499213889661813e-10	3.5628993200053196e-11	3.653340237991131e-11	8.576919825546445e-11	0.9999999990129247	1.4669110414503498e-10
ERR5414330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
DRR317514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n25	1.7847874207003737e-05	9.643244801048704e-06	8.724067968551227e-05	2.9744509560649535e-06	2.974467320195024e-06	1.838216919722294e-05	2.9837340266315087e-06	7.752876683869056e-06	9.05921959984558e-06	0.0004409131335450761	5.949533675834111e-06	6.1005571090265086e-06	1.432223945193821e-05	0.9993447587068383	2.9097112902425645e-05
n2525	2.8399753794660156e-06	1.9948811965994293e-06	8.783452307710746e-06	4.732974691726109e-07	4.7330007306061514e-07	8.822720168136029e-06	4.7477460022668525e-07	1.2336451225654584e-06	1.4415116512735788e-06	3.8082250662226326e-05	9.466954651713473e-07	9.707264577536594e-07	2.278974016229331e-06	0.9999226841748696	8.499620560787975e-06
n3030	0.0009197757080009318	0.013274547203325977	0.001089510622251843	0.0001532859622505732	0.00015328680556225762	0.0007767995237266268	0.0001537643579011151	0.0003995383283137816	0.000466859670612036	0.0012910340443294456	0.0003066044819417216	0.00031438735434821083	0.0007380848668513579	0.9786740002264397	0.0012885208441445037
n34	1.1063388976232357e-05	1.2709865991732517e-05	1.3434005740160489e-05	1.8437770974089217e-06	1.843787241070673e-06	9.544565185858401e-06	1.849531407427466e-06	4.805786573837144e-06	5.615551194261885e-06	1.7598820863828594e-05	3.6879458070663817e-06	3.7815609150210874e-06	8.877949251652751e-06	0.9993180491582748	0.0005852943054796716
ERR4326550	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n3636	1.3308006804613568e-13	6.781716723363872e-14	1.5760926449862868e-13	2.217740478970141e-14	2.2177526800239555e-14	0.9999999999985942	2.2246619047231904e-14	5.780518389917309e-14	6.754523208230794e-14	1.8665415434411598e-13	4.435951998782219e-14	4.548554555080616e-14	1.0678607856888982e-13	2.894001413654387e-13	1.8263627312213723e-13
ERR7253773	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326541	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR340561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
