node	Canada	China	Czech Republic	Denmark	Germany	Ireland	Singapore	Switzerland	Taiwan	UK	USA
ERR5412687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_50	3.6095548275844928e-12	2.3819371716172298e-12	2.4211817505929215e-12	1.1908914424654012e-12	2.417812237676393e-12	1.1941359728171185e-12	1.1908925102327182e-12	1.1908911727734805e-12	1.1908912452828512e-12	0.9999999999761952	7.016654981314243e-12
Node_60	2.4621851340953895e-15	1.624790472632841e-15	1.6515603718484858e-15	8.123426145384096e-16	1.6492619264698985e-15	8.145558055773904e-16	8.123433428943815e-16	8.123424305734971e-16	8.123424800343043e-16	0.9999999999999839	4.7862698895834645e-15
Node_70	2.462240179367619e-15	1.6248267968850849e-15	1.6515972945757872e-15	8.12360775488105e-16	1.6492987978125376e-15	8.145740160057791e-16	8.123615038603602e-16	8.123605915190797e-16	8.123606409809926e-16	0.9999999999999839	4.786376892718764e-15
Node_77	2.462130286488616e-15	1.6247542788195902e-15	1.6515235817092784e-15	8.12324518803993e-16	1.6492251875308329e-15	8.145376605419499e-16	8.123252471437335e-16	8.123243348431719e-16	8.123243843028772e-16	0.9999999999999839	4.786163270692309e-15
ERR5414158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_176	1.3887526292105088e-11	9.164347593222581e-12	9.315338545995926e-12	4.581876992640079e-12	9.302374565224017e-12	4.5943601111178465e-12	4.581881100805045e-12	4.5818759550180394e-12	4.581876233993105e-12	0.9999999999084124	2.699612187020645e-11
Node_187	4.987461044504198e-06	1.2974778356678057e-07	1.3188883826976953e-07	6.486968966676039e-08	1.317019536272187e-07	6.504642422843011e-08	6.486974782968892e-08	6.486967497622589e-08	6.48696789259229e-08	0.9999939011600768	3.9351508759247457e-07
ERR5414313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_202	1.8416209228401276e-07	1.2138047230856543e-07	1.233806568613041e-07	6.068630502816113e-08	1.2320861979887798e-07	6.085164214587091e-08	6.068635944021792e-08	6.068629128500572e-08	6.068629497999004e-08	0.9999960853767308	3.058894535061113e-06
Node_223	3.718986883789766e-10	1.4835678217624935e-10	1.5101862860552937e-10	7.417358628532312e-11	1.5059122791763908e-10	7.437566889901706e-11	7.417365279023565e-11	7.417356948780744e-11	7.417357400398742e-11	0.9999999800397207	1.8767344059105647e-08
ERR5413363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412690	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_59	2.4621301016652227e-15	1.6247541568550455e-15	1.6515234577352569e-15	8.123244578256641e-16	1.6492250637293438e-15	8.145375993974948e-16	8.123251861653564e-16	8.123242738648633e-16	8.12324323324565e-16	0.9999999999999839	4.786162911411997e-15
ERR5412213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_67	2.4626496226006014e-15	1.6250969875603602e-15	1.6518719368879153e-15	8.124958620751356e-16	1.6495730579101469e-15	8.14709470630154e-16	8.124965905685045e-16	8.124956780755117e-16	8.124957275456496e-16	0.9999999999999839	4.787172814110044e-15
Node_69	2.462185134095611e-15	1.6247904726329872e-15	1.6515603718486343e-15	8.123426145384894e-16	1.6492619264700468e-15	8.145558055774637e-16	8.123433428944547e-16	8.123424305735703e-16	8.123424800343773e-16	0.9999999999999839	4.786269889583895e-15
ERR5412807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_175	2.7725309348725035e-15	1.8295869736508443e-15	1.8597310812865242e-15	9.147342323423436e-16	1.8571429286620946e-15	9.172263847541844e-16	9.147350525038406e-16	9.147340251895905e-16	9.147340808846785e-16	0.9999999999999819	5.389554656321749e-15
Node_183	0.22484945684554117	0.001092412802351256	0.0011104112963692518	0.0005461710214113162	0.0011088659573358682	0.0005476590398763147	0.0005461715111146929	0.0005461708977242137	0.0005461709309787241	0.7658885034920917	0.003218006205205472
Node_186	6.474117017230878e-08	4.2637124061725554e-08	4.3339609508272523e-08	2.1317181150487797e-08	4.327929450203511e-08	2.1375258854961365e-08	2.1317200263723734e-08	2.131717632295144e-08	2.1317177620882838e-08	0.999999573759056	1.2559975144720598e-07
Node_194	0.0009107689471600259	0.0006010143424372645	0.0006109165998887167	0.0003004877062821744	0.0006100663986771871	0.00030130637156818116	0.00030048797570299566	0.0003004876382330612	0.0003004876565287436	0.9564012916784962	0.039362684685025504
