Type,time,mean,median,upper,lower,rate,year
eDCC10,79077.1289,4994422.7,4296568.37,1.66E+07,237525.723,6.09841E-05,2015.17755
eDCC10,81548.2892,4855862.55,4033475.05,1.66E+07,230266.708,6.09841E-05,2015.026848
eDCC10,84019.4495,4708618.3,3699745.5,1.67E+07,213525.001,6.09841E-05,2014.876146
eDCC10,86490.6098,4547790.19,3274227.26,1.66E+07,218300.171,6.09841E-05,2014.725445
eDCC10,88961.77,4356809.14,2451575.79,1.65E+07,223436.673,6.09841E-05,2014.574743
eDCC10,91432.9303,4241724.25,2010145.69,1.65E+07,248228.92,6.09841E-05,2014.424042
eDCC10,93904.0906,4047384.14,1667199.84,1.60E+07,258799.433,6.09841E-05,2014.27334
eDCC10,96375.2509,3912256.32,1470824.2,1.58E+07,262586.155,6.09841E-05,2014.122638
eDCC10,98846.4111,3813926.67,1396022.8,1.58E+07,258799.433,6.09841E-05,2013.971937
eDCC10,101317.571,3699967.2,1344498.11,1.55E+07,259994.62,6.09841E-05,2013.821235
eDCC10,103788.732,3591315.45,1311633.41,1.55E+07,263705.265,6.09841E-05,2013.670534
eDCC10,106259.892,3440718.62,1255660.97,1.52E+07,271949.506,6.09841E-05,2013.519832
eDCC10,108731.052,3366427.17,1246029.93,1.53E+07,273916.629,6.09841E-05,2013.369131
eDCC10,111202.213,3259855.54,1229577.03,1.52E+07,289500.113,6.09841E-05,2013.218429
eDCC10,113673.373,3164722.53,1230938.37,1.49E+07,308098.106,6.09841E-05,2013.067727
eDCC10,116144.533,3003778.61,1218667.68,1.45E+07,313096.335,6.09841E-05,2012.917026
eDCC10,118615.693,2906595.57,1212042.69,1.41E+07,314747.117,6.09841E-05,2012.766324
eDCC10,121086.854,2818675.57,1202185.26,1.36E+07,327644.614,6.09841E-05,2012.615623
eDCC10,123558.014,2730104.98,1198818.87,1.35E+07,342169.49,6.09841E-05,2012.464921
eDCC10,126029.174,2634624.16,1192879.94,1.32E+07,340415.407,6.09841E-05,2012.31422
eDCC10,128500.334,2553408.08,1196458.56,1.27E+07,354048.33,6.09841E-05,2012.163518
eDCC10,130971.495,2470612.23,1196188.64,1.25E+07,354048.33,6.09841E-05,2012.012816
eDCC10,133442.655,2379502.91,1187809.04,1.22E+07,356183.112,6.09841E-05,2011.862115
eDCC10,135913.815,2327653.78,1187854.6,1.22E+07,350044.349,6.09841E-05,2011.711413
eDCC10,138384.976,2278871.7,1190583.52,1.20E+07,359924.559,6.09841E-05,2011.560712
eDCC10,140856.136,2213731.48,1194171.6,1.18E+07,357973.149,6.09841E-05,2011.41001
eDCC10,143327.296,2158614.5,1202185.26,1.15E+07,358439.669,6.09841E-05,2011.259309
eDCC10,145798.456,2074755.46,1203492.86,1.13E+07,375390.076,6.09841E-05,2011.108607
eDCC10,148269.617,1984479.81,1203492.86,1.09E+07,374109.027,6.09841E-05,2010.957905
eDCC10,150740.777,1927906.65,1212600.89,1.02E+07,374109.027,6.09841E-05,2010.807204
eDCC10,153211.937,1859130.31,1212600.89,9419387.44,388745.425,6.09841E-05,2010.656502
eDCC10,155683.098,1811579.15,1222376.65,9027621.85,379851.868,6.09841E-05,2010.505801
eDCC10,158154.258,1761763.08,1224782.09,8112004.84,374998.88,6.09841E-05,2010.355099
eDCC10,160625.418,1722262.15,1225440.36,7460785.33,371706.902,6.09841E-05,2010.204397
eDCC10,163096.578,1704876.68,1234780.63,6800878.46,363016.548,6.09841E-05,2010.053696
eDCC10,165567.739,1671046.73,1241009.63,5878213.65,368277.077,6.09841E-05,2009.902994
eDCC10,168038.899,1653626.96,1244190.72,5600435.47,357973.149,6.09841E-05,2009.752293
eDCC10,170510.059,1640341.41,1244190.72,5514197.73,336671.127,6.09841E-05,2009.601591
eDCC10,172981.22,1626881.85,1249468.59,5270848.25,330318.136,6.09841E-05,2009.45089
