Type,time,mean,median,upper,lower,year,rate
DCC3,101637.848,1885938.83,497422.649,1.64E+07,179343.553,1964.904,0.000542081
DCC3,104116.82,1498682.41,498117.216,9364975.08,171426.243,1963.5602,0.000542081
DCC3,106595.792,1072958.61,497422.649,5416209.67,164478.996,1962.2164,0.000542081
DCC3,109074.764,914178.538,496061.285,2656556.78,164756.884,1960.8726,0.000542081
DCC3,111553.736,808473.956,495555.757,1675894.96,163165.923,1959.5288,0.000542081
DCC3,114032.708,669157.905,492435.155,1391977.9,157176.467,1958.185,0.000542081
DCC3,116511.68,629148.921,489989.09,1311885.64,142641.178,1956.8412,0.000542081
DCC3,118990.652,558299.102,492883.094,1267453.44,132703.545,1955.4974,0.000542081
DCC3,121469.624,549771.68,490860.215,1242172.51,117111.239,1954.1536,0.000542081
DCC3,123948.595,538404.375,489444.565,1247651.85,98016.2495,1952.8098,0.000542081
DCC3,126427.567,533898.761,487904.068,1247651.85,80908.8039,1951.466,0.000542081
DCC3,128906.539,522163.287,480328.877,1219426.06,72605.1136,1950.1222,0.000542081
DCC3,131385.511,514090.049,475372.324,1224357,65932.9594,1948.7784,0.000542081
DCC3,133864.483,505958.894,466208.845,1242172.51,61002.7173,1947.4346,0.000542081
DCC3,136343.455,497083.932,456080.358,1252496.74,56927.9975,1946.0908,0.000542081
DCC3,138822.427,492717.539,452809.956,1248570.88,56307.9156,1944.747,0.000542081
DCC3,141301.399,483285.46,442808.381,1247651.85,55318.0957,1943.4032,0.000542081
DCC3,143780.371,475892.348,437441.544,1242172.51,54965.0948,1942.0594,0.000542081
DCC3,146259.343,468146.549,427146.022,1243109.01,53945.6343,1940.7156,0.000542081
DCC3,148738.315,461911.66,422275.375,1243109.01,52599.3023,1939.3718,0.000542081
DCC3,151217.286,456313.056,414566.635,1226405.28,51848.1058,1938.0279,0.000542081
DCC3,153696.258,451501.326,404154.867,1225794.34,51442.4462,1936.6841,0.000542081
DCC3,156175.23,445873.315,398806.129,1224357,50109.0091,1935.3403,0.000542081
DCC3,158654.202,440805.498,386431.74,1225794.34,50023.9986,1933.9965,0.000542081
DCC3,161133.174,433136.726,371220.62,1222338.57,49766.7852,1932.6527,0.000542081
DCC3,163612.146,425398.308,355120.014,1216628.01,48772.3675,1931.3089,0.000542081
DCC3,166091.118,419216.002,341566.316,1211917.36,48772.3675,1929.9651,0.000542081
DCC3,168570.09,414532.679,327531.17,1183562.58,48350.1781,1928.6213,0.000542081
DCC3,171049.062,409371.566,314840.478,1206327.4,48325.4338,1927.2775,0.000542081
DCC3,173528.034,402832.625,295636.634,1183562.58,48325.4338,1925.9337,0.000542081
DCC3,176007.006,397225.794,283399.144,1181823.01,48255.8972,1924.5899,0.000542081
DCC3,178485.977,391388.945,270020.756,1178477.03,48255.8972,1923.2461,0.000542081
DCC3,180964.949,385812.416,263843.991,1177737.85,48269.5739,1921.9023,0.000542081
DCC3,183443.921,380479.559,257738.939,1165489.44,48064.2332,1920.5585,0.000542081
DCC3,185922.893,374617.324,246327.747,1161703.89,48269.5739,1919.2147,0.000542081
DCC3,188401.865,370046.732,241026.833,1161182.58,48064.2332,1917.8709,0.000542081
DCC3,190880.837,363896.785,231671.923,1147694.53,48064.2332,1916.5271,0.000542081
DCC3,193359.809,358733.578,223266.001,1143720.61,48064.2332,1915.1833,0.000542081
DCC3,195838.781,354689.44,218644.146,1143141.53,47697.8976,1913.8395,0.000542081
DCC3,198317.753,350576.128,213345.873,1143720.61,47697.8976,1912.4957,0.000542081
DCC3,200796.725,346266.682,209037.843,1146977.32,47634.1731,1911.1519,0.000542081
DCC3,203275.697,340218.74,206308.021,1139558.37,47697.8976,1909.8081,0.000542081
DCC3,205754.668,335021.769,198763.438,1131780.84,47634.1731,1908.4643,0.000542081
DCC3,208233.64,330036.956,194371.421,1110381.45,47634.1731,1907.1205,0.000542081
DCC3,210712.612,326930.841,190884.858,1131780.84,47561.5811,1905.7767,0.000542081
DCC3,213191.584,320770.986,188152.103,1106278.58,47634.1731,1904.4328,0.000542081
DCC3,215670.556,316072.592,185363.435,1104672.25,47561.5811,1903.089,0.000542081
DCC3,218149.528,310665.537,181878.895,1104672.25,47561.5811,1901.7452,0.000542081
DCC3,220628.5,305792.378,177802.178,1102704.7,47561.5811,1900.4014,0.000542081
DCC3,223107.472,301777.456,174401.487,1102020.54,47561.5811,1899.0576,0.000542081
DCC3,225586.444,299462.918,173632.675,1092292.34,47561.5811,1897.7138,0.000542081
DCC3,228065.416,294594.259,171807.563,1083463.02,47561.5811,1896.37,0.000542081
DCC3,230544.388,291402.028,170382.002,1083463.02,47634.1731,1895.0262,0.000542081
DCC3,233023.359,289236.557,168635.316,1080127.53,47634.1731,1893.6824,0.000542081
DCC3,235502.331,285226.128,166528.718,1076526.1,47634.1731,1892.3386,0.000542081
DCC3,237981.303,282209.086,165559.44,1071538.14,47561.5811,1890.9948,0.000542081
DCC3,240460.275,279335.666,165006.345,1061538.05,47561.5811,1889.651,0.000542081
DCC3,242939.247,276288.866,164269.466,1050929.97,47561.5811,1888.3072,0.000542081
DCC3,245418.219,273867.967,163781.6,1037798.82,47515.9315,1886.9634,0.000542081
