node	Australia	Canada	China	Denmark	Germany	Netherlands	Norway	Singapore	Spain	Taiwan	Thailand	UK	USA
n18	1.5990651095650326e-15	3.879975606352169e-16	1.6265342870342633e-15	3.966027467352616e-16	0.9999999999999859	3.8802059821807946e-16	8.373316939718947e-16	3.8805850889645593e-16	7.931874865342194e-16	3.8992863137467277e-16	3.9916906477497867e-16	3.9110452113009496e-15	2.824056285606775e-15
n3131	6.178085731657786e-10	1.5465695928721383e-10	2.680553007646842e-10	1.5486920638895126e-10	0.9999999957095692	1.546559515217835e-10	3.093287968007761e-10	1.5465586337642773e-10	1.5492685455794835e-10	1.5465597137479638e-10	1.5465651803576476e-10	8.980736787914452e-10	1.1140869666866143e-09
n4747	0.004883629192905012	7.695043898902552e-05	0.00013292940215882987	7.679897272038635e-05	0.0001755832141530175	7.669322113921334e-05	0.00015339481532795896	7.669317742551305e-05	7.682740710088657e-05	7.669323084430359e-05	7.669624972622615e-05	0.000563478552073578	0.9935536321254361
n5555	0.00029368979246062113	2.1715845169632818e-05	3.510169675887224e-05	2.027140050005662e-05	4.636549651507939e-05	2.0243457092879893e-05	4.0489351776551666e-05	2.0243445696121203e-05	2.0279699829141455e-05	2.0243466741389826e-05	2.025933468838627e-05	0.0007987185333639913	0.9986423784794073
SRR15713807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n6767	0.00022400177224319703	0.0019308181520970734	9.660583702012605e-05	5.5807040771406165e-05	0.0001276046900075435	5.573017251175127e-05	0.00011146660016723775	5.573014085290443e-05	5.582829894303925e-05	5.57301848833465e-05	5.574369074210358e-05	0.0003251109552303973	0.9968498224645298
n5	2.7450616270616767e-12	6.867316086147716e-13	1.2246900862509403e-12	3.8037675525153434e-12	0.9999999999700072	1.0823261749180482e-12	1.4468447389120793e-12	1.6722494775479402e-12	6.959343437147577e-13	1.4330854110328432e-12	6.871328473198964e-13	7.310868913393936e-12	7.203994804159602e-12
n7	0.0002443625602269326	6.080245162802423e-05	0.0001340239239546009	0.0026525063077636776	0.9819821421483977	0.0011769283357454053	0.00018258671133836792	0.0028413138773849115	6.756767552540951e-05	0.0006815398950887342	6.11376693959822e-05	0.0031168693430332524	0.0067982191005169145
ERR374166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR340536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5384775	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n1111	1.3849358021262126e-08	3.4595292148223525e-09	6.570302758289317e-09	0.9999994381529389	2.711740523922913e-07	3.6240881183172648e-09	1.65170245884784e-07	3.8695126679327134e-09	3.5990630087956438e-09	3.6765667986673736e-08	3.466243194880969e-09	2.4420293862780772e-08	2.587870401062855e-08
n15	1.1960296159045425e-15	2.994039480200629e-16	5.189315916436766e-16	2.9981481833696466e-16	6.854437479989206e-16	2.9940199698881925e-16	5.988365191279547e-16	2.9940182623422817e-16	2.999252565623413e-16	2.994020298197412e-16	2.994030609818277e-16	0.9999999999999927	2.1567863780286413e-15
n1515	1.1960296159045425e-15	2.994039480200629e-16	5.189315916436766e-16	2.9981481833696466e-16	6.854437479989206e-16	2.9940199698881925e-16	5.988365191279547e-16	2.9940182623422817e-16	2.999252565623413e-16	2.994020298197412e-16	2.994030609818277e-16	0.9999999999999927	2.1567863780286413e-15
ERR4326492	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR7253768	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n1818	1.8994911025577888e-16	4.75501956888475e-17	8.241936164704259e-17	4.76154876496513e-17	0.9999999999999989	4.754988595731942e-17	9.510523409362176e-17	4.754985902341838e-17	4.763494720632872e-17	4.7549900412817244e-17	4.7550108927924344e-17	2.761253147653669e-16	3.425327460745607e-16
n26	1.8591395662857082e-16	4.654007069088834e-17	8.066849908407484e-17	4.660397563234054e-17	0.999999999999999	4.653976753909257e-17	9.308488122226974e-17	4.653974117735756e-17	4.6623021803222814e-17	4.653978168750809e-17	4.653998577306234e-17	2.702594906833666e-16	3.352562063165995e-16
ERR4326566	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326570	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n48	2.595718070814915e-05	2.822541583172766e-06	4.890654056049543e-06	2.825590197567219e-06	6.459942804276565e-06	2.821699565321606e-06	5.643705795682973e-06	2.8216979561362688e-06	2.8266314824293456e-06	2.8216998788888596e-06	2.82171843508444e-06	1.6764312298587595e-05	0.9999205226252387
n5353	0.0364227352083388	0.00037320597643267006	0.0006465646632177758	0.0003735543683511389	0.0008540311366441978	0.00037304000998670346	0.0007461205711744274	0.0003730397972514532	0.0003736920612831015	0.00037304005171730117	0.0003730430913312641	0.002241455823526525	0.9564764772407447
ERR5413490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n56	8.079993229311669e-05	1.7636225985270934e-05	3.044053763929159e-05	1.758670592648787e-05	4.020817126384124e-05	1.756248885552678e-05	3.512689751406724e-05	1.756247884673308e-05	1.7593225690062412e-05	1.7562491152814802e-05	1.7563341656575052e-05	0.00013604647495270216	0.9995543110282235
