node	Australia	Bangladesh	Canada	China	Czech Republic	Denmark	France	Germany	Ireland	Japan	Malaysia	Netherlands	Norway	Singapore	South Korea	Spain	Sweden	Taiwan	UK	USA
ERR373983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n2	1.8302026105856826e-06	2.2333215564339258e-09	6.616108641240633e-08	2.463790453029013e-08	1.8338716542798252e-09	3.0736388815664908e-09	1.8338285847699723e-09	4.206615381482766e-08	1.7048962278855833e-08	3.245508217352103e-08	1.8346387062286427e-09	5.501353395544538e-09	1.2260130643412381e-08	2.3897058143297438e-08	1.8339507149308897e-09	1.8468182228922316e-08	1.8339850575909265e-09	3.235670470358932e-08	2.5524875053770147e-07	0.9999976252187854
n13111311	0.0030112925603256154	1.1324582392195363e-05	0.0004972852006241782	0.00012492996824859954	9.299077683516853e-06	9.299244642803562e-06	9.298859289479998e-06	0.00021247876612155624	5.5783037030082266e-05	0.00016443285378647658	9.302967200341707e-06	2.7895906685836236e-05	6.21363300206737e-05	2.1866043677984552e-05	9.29947855196976e-06	9.364726304251716e-05	9.299090267118904e-06	0.00016303785994522754	0.0019469753376786128	0.9935511155727853
n13171317	0.0010505126016002368	3.9180640770596326e-05	0.9876084649943736	0.0004322310559543051	3.217282629925851e-05	3.2172971419356375e-05	3.2172070702450516e-05	0.0007351311751427266	0.00019299530560087298	0.0005689026088760156	3.218628319826e-05	9.65138899586315e-05	0.0002149784527543104	7.564501662592027e-05	3.217421321864245e-05	0.000323999565312634	3.2172869797140294e-05	0.000564076165928289	0.0028409876173306823	0.0050633296751361415
DRR245195	0.05704924214291308	0.0020827128492421267	0.08746359684446302	0.02297596865116818	0.0017102006861558759	0.0017102084268704393	0.0017101605211368928	0.039077133869502484	0.010258990154305746	0.030240974884350902	0.0017109160102524227	0.005130358125690367	0.011427541180052259	0.0040210384894415405	0.0017102744101880618	0.01722274175597195	0.0017102029983613095	0.029984417196752527	0.15113254009237478	0.521670780710806
n22	1.8575661511231579e-06	6.960382937401113e-11	7.942791811204026e-09	7.684069221949212e-10	5.7154550522579624e-11	1.5584269202632092e-09	5.7153208205027146e-11	1.5013670456489473e-09	7.665486491684781e-09	1.0436554189890823e-09	5.717845663572181e-11	1.7145550564342557e-10	3.894398837542856e-10	2.3850912225429853e-08	5.7157020855098894e-11	5.755804435518618e-10	5.728894984535932e-11	1.2491079309894601e-09	1.0042156044647163e-08	0.9999980853195263
n1003	4.3205547611446874e-07	1.541895047412502e-08	3.5311891838258527e-07	1.7009802143091495e-07	1.2661130741209768e-08	1.2676956533537582e-08	1.2660833387477624e-08	2.9031627219149107e-07	7.655062281524409e-08	2.2388978064724445e-07	1.26664265009322e-08	3.7981586315879506e-08	8.46016081226046e-08	3.0018063534395814e-08	1.2661676542491786e-08	1.2750514420135031e-07	1.2661149270003368e-08	2.2198626563341947e-07	3.3846314784412635e-05	0.9999640141563327
n1312	0.002611369345094742	1.576372092857555e-05	0.0005534076655057792	0.00017390143729615508	1.2944235859604813e-05	1.294439534092585e-05	1.2943931856990834e-05	0.0002957685985824542	7.764915023032747e-05	0.0002288891113724711	1.2949650033448103e-05	3.883086129058154e-05	8.649323462051034e-05	3.0436192002719192e-05	1.2944793865030484e-05	0.00013035618172944994	1.294425336934554e-05	0.00022694728159226821	0.003080350449818589	0.99237216550961
n1316	0.003062294435718465	1.1937368037631556e-05	0.0005109816301177874	0.00013169006663874005	9.802261034823682e-06	9.802430087303596e-06	9.8020308232445e-06	0.0002239762256288515	5.880148483616555e-05	0.00017333049673875744	9.806361017694472e-06	2.9405384968698674e-05	6.549859534610677e-05	2.304912976813179e-05	9.802683594710855e-06	9.87146197484378e-05	9.802274298717277e-06	0.00017186001725244315	0.0019898353729616222	0.9933898071313816
n1318	3.5795580262072767e-10	1.346304755865954e-11	0.9999999963760984	1.485209825105401e-10	1.1055058877150093e-11	1.1055108676094873e-11	1.1054799242913358e-11	2.526019426380702e-10	6.631604062861541e-11	1.954833491450677e-10	1.1059682866643012e-11	3.316359980410073e-11	7.38697753937015e-11	2.599274527521901e-11	1.1055535443159702e-11	1.1133104183590973e-10	1.1055073823659626e-11	1.938249119669712e-10	9.759179626943594e-10	1.1091250920833635e-09
n1319	3.6012051836083334e-10	1.3462294236537431e-11	0.9999999959170106	1.485126720488122e-10	1.1054440293551016e-11	1.1054490137859081e-11	1.1054180673842154e-11	2.5258780835344195e-10	6.631233016277781e-11	1.9547241091458903e-10	1.1059064024309534e-11	3.316174414153483e-11	7.38656420254971e-11	2.5991291617029844e-11	1.1054916832894381e-11	1.1132481232982449e-10	1.1054455239228472e-11	1.9381406654087423e-10	9.760715489527891e-10	1.5659606963609457e-09
