node	Australia	Canada	Denmark	Germany	Ireland	Norway	Spain	UK
n26	0.01119998112715016	0.20228092691152363	0.5477297170234656	0.01746074766521715	0.01019097150690594	0.02137794303313295	0.01875731752036158	0.17100239521224292
n2626	1.30880463795789e-06	1.3409236126710727e-06	3.983850484936443e-06	2.6008632453727995e-06	0.9999625949075451	2.613118063751817e-06	2.6042701948134357e-06	2.2953262215347453e-05
n1414	1.2353149597166193e-10	1.235312147185389e-10	3.664858998761585e-10	2.470600005560675e-10	1.25725671851455e-10	2.46962632874202e-10	2.4696465786991027e-10	0.9999999985197384
ERR5412449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n16	1.2369161611969515e-10	1.2369133450201495e-10	3.66960934814245e-10	2.4738023697472506e-10	1.2588863606580132e-10	2.472827430859578e-10	2.472847707064449e-10	0.9999999985178197
ERR5413332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR16943814	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR369136	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ERR4020071	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR4020074	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR5413116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1616	1.236914085737239e-10	1.23691126955898e-10	3.669603190757863e-10	2.473798218904554e-10	1.2588842483454946e-10	2.472823281645873e-10	2.4728435578166206e-10	0.9999999985178222
ERR5412593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n17	1.2353149570297092e-10	1.2353121444922902e-10	3.6648589907561613e-10	2.470600000213314e-10	1.2572567157915364e-10	2.469626323389898e-10	2.469646573346856e-10	0.9999999985197384
ERR5412785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
