node	France	Germany	Ireland	UK	USA
ERR7253696	0.0	1.0	0.0	0.0	0.0
ERR4298321	0.0	1.0	0.0	0.0	0.0
SRR12574846	0.0	0.0	0.0	0.0	1.0
Node_67	1.252015174350933e-06	1.3856545820544467e-05	3.993887926522221e-06	1.4700313294141741e-05	0.9999661972377845
Node_87	0.010143935881626459	0.1700282780871302	0.04370806078110233	0.12699570805095023	0.6491240171991908
Node_93	0.00013453589526790072	0.0015348383259074336	0.00048589494017700093	0.0015974767676955053	0.9962472540709523
SRR12051733	0.0	0.0	0.0	0.0	1.0
SRR12051734	0.0	0.0	0.0	0.0	1.0
Node_103	9.280159755160824e-07	1.019949259950479e-05	2.783568878157812e-06	1.0849035716829175e-05	0.9999752398868299
Node_105	5.141031924262748e-10	5.650719264104922e-09	1.5429550588594992e-09	6.010854300623828e-09	0.9999999862813682
SRR7800729	0.0	0.0	0.0	0.0	1.0
SRR12051825	0.0	0.0	0.0	0.0	1.0
Node_112	0.0038955298828758276	0.04282747151851311	0.011714811747825984	0.04660525007012214	0.8949569367806628
Node_113	0.0038969887389300284	0.042843505552140344	0.011719188179615994	0.04662133821245212	0.8949189793168616
Node_117	0.006067904069625874	0.06667728277314769	0.018170818155537644	0.07091455047211412	0.8381694445295746
SRR5483260	0.0	0.0	0.0	0.0	1.0
ERR349313	0.0	0.0	0.0	0.0	1.0
ERR349279	0.0	0.0	0.0	0.0	1.0
ERR363493	0.0	0.0	0.0	0.0	1.0
ERR363440	0.0	0.0	0.0	0.0	1.0
SRR6388749	0.0	0.0	0.0	1.0	0.0
Node_10	7.841876763332288e-15	8.617059873900821e-14	2.3483082230989806e-14	0.9999999999994389	4.4361188369694246e-13
ERR3198446	0.0	0.0	0.0	1.0	0.0
Node_36	9.897047658444615e-10	1.08753879744834e-08	2.9637444073898398e-09	0.9999999291839536	5.598720927857137e-08
SRR6045506	0.0	0.0	0.0	1.0	0.0
Node_51	0.004680982145919308	0.05228693342005623	0.016122393255552227	0.27270628440642336	0.654203406772049
Node_66	5.9229940371500644e-09	6.555174749970326e-08	1.8893257857355763e-08	6.954352864103607e-08	0.999999840088472
SRR12051524	0.0	0.0	0.0	0.0	1.0
Node_73	0.010778412783510364	0.19179163970544463	0.03511674873385681	0.12686111482670973	0.6354520839504786
Node_86	0.008021944775677064	0.33564744620952475	0.02594061176447589	0.12065992469326473	0.5097300725570576
Node_92	0.00013405393366534493	0.0015292618170975297	0.0004840394885413042	0.0015917191509929925	0.9962609256097029
SRR7800420	0.0	0.0	0.0	0.0	1.0
SRR12051784	0.0	0.0	0.0	0.0	1.0
SRR7800504	0.0	0.0	0.0	0.0	1.0
SRR7800417	0.0	0.0	0.0	0.0	1.0
Node_104	2.957689920258875e-13	3.250387101428564e-12	8.864513518006356e-13	3.4571717895440567e-12	0.9999999999921102
Node_111	0.00590055118186208	0.06484963817239661	0.01769580100762986	0.07195258483223888	0.8396014248058726
ERR374011	0.0	0.0	0.0	0.0	1.0
SRR12051844	0.0	0.0	0.0	0.0	1.0
ERR373958	0.0	0.0	0.0	0.0	1.0
SRR3666123	0.0	0.0	0.0	0.0	1.0
Node_116	7.505681675684178e-10	8.247631656241284e-09	2.2476328169608414e-09	8.771758804889385e-09	0.9999999799824086
ERR5412670	0.0	0.0	0.0	1.0	0.0
SRR6388706	0.0	0.0	0.0	1.0	0.0
ERR3198441	0.0	0.0	0.0	1.0	0.0
Node_35	1.4042281208146614e-11	1.543038504539924e-10	4.2050653724054825e-11	0.999999998995237	7.943663240509925e-10
Node_50	0.006128848735395646	0.0680002809449501	0.019971330401628334	0.24468815805485883	0.6612113818631672
SRR12051744	0.0	0.0	0.0	0.0	1.0
Node_64	1.4759098533189086e-12	1.6319898816444627e-11	4.671992935215651e-12	1.731906077214491e-11	0.9999999999602132
Node_65	3.1076026589584565e-09	3.41515409969211e-08	9.31485316838634e-09	3.632049019346743e-08	0.9999999171055131
Node_69	0.010778176057986496	0.1918086199587275	0.035115046297951556	0.12685803490544253	0.6354401227798919
Node_72	0.0114661606539685	0.1508446820755001	0.03922446695652268	0.13430642601124154	0.6641582643027671
Node_80	0.0039060035167257532	0.09114236807946384	0.01180364465006799	0.2752228924835605	0.6179250912701819
Node_85	7.6108291975626145e-06	0.9983644652257675	2.3217083329912152e-05	0.00017818192093844095	0.0014265249407665681
Node_88	0.00013493095128337004	0.001538845587936742	0.0004865873742620407	0.0016019449201481939	0.9962376911663697
Node_91	0.000134550678191846	0.0015346437360148728	0.00048541450145790714	0.0015974903876188298	0.9962479006967165
SRR7800416	0.0	0.0	0.0	0.0	1.0
SRR12051783	0.0	0.0	0.0	0.0	1.0
Node_110	1.7392729207757326e-10	1.9112040565650114e-09	5.208404830748495e-10	0.9999999875107026	9.883325544599874e-09
SRR12051820	0.0	0.0	0.0	0.0	1.0
SRR12051798	0.0	0.0	0.0	0.0	1.0
SRR7800723	0.0	0.0	0.0	0.0	1.0
ERR3198443	0.0	0.0	0.0	1.0	0.0
Node_34	1.4671787384357615e-07	1.6122118998262373e-06	4.393575670985942e-07	0.999989501940251	8.299772408065991e-06
SRR12051633	0.0	0.0	0.0	0.0	1.0
ERR459798	0.0	0.0	0.0	1.0	0.0
Node_63	1.9581094784447559e-13	2.151695636488385e-12	5.864289881837164e-13	2.2884244689211436e-12	0.9999999999947776
SRR12051548	0.0	0.0	0.0	0.0	1.0
SRR12051789	0.0	0.0	0.0	0.0	1.0
SRR12051778	0.0	0.0	0.0	0.0	1.0
SRR12574858	0.0	0.0	0.0	0.0	1.0
ERR7253741	0.0	1.0	0.0	0.0	0.0
Node_71	0.011287001817893886	0.12604105921599537	0.08681745498248773	0.13193379483642861	0.6439206891471944
ERR373981	0.0	0.0	0.0	0.0	1.0
Node_75	0.0018869559575467349	0.2512160787630184	0.00565688394391304	0.035493002156441994	0.7057470791790799
Node_79	0.0039045405001945687	0.09108747936227163	0.011799177555285511	0.27530456615370485	0.6179042364285434
Node_83	3.8076294433195037e-06	0.9991049132889145	1.1615129136587804e-05	0.0001308114314849709	0.0007488525210204923
Node_84	8.415355727525375e-10	1.0716901994420883e-07	2.520082532785948e-09	9.84363148888929e-09	0.9999998796257306
SRR3321827	0.0	0.0	0.0	0.0	1.0
SRR7800726	0.0	0.0	0.0	0.0	1.0
Node_90	0.0005067817877453867	0.0055912170252535925	0.0015505692621646248	0.0059326706841087455	0.9864187612407276
SRR12051582	0.0	0.0	0.0	0.0	1.0
ERR374172	0.0	0.0	0.0	1.0	0.0
ERR340542	0.0	0.0	0.0	1.0	0.0
ERR3198449	0.0	0.0	0.0	1.0	0.0
ERR3198448	0.0	0.0	0.0	1.0	0.0
Node_58	1.837547722046355e-13	2.0191925045947486e-12	5.502673220273677e-13	2.1475097318704978e-12	0.9999999999950994
Node_62	5.406942212580846e-11	5.941427836543388e-10	1.6191490277082897e-10	6.31899834802065e-10	0.9999999985579731
SRR12574867	0.0	0.0	0.0	0.0	1.0
Node_70	3.854890342859276e-06	4.2395952370572416e-05	0.9992811238176253	4.50518707045876e-05	0.0006275734689566144
ERR373988	0.0	0.0	0.0	0.0	1.0
Node_74	1.6219063835211032e-10	0.9999999765253816	4.858119612530404e-10	2.1534881942184033e-09	2.067312753068956e-08
Node_76	1.9991058514366237e-06	2.414432090317501e-05	5.991293984624126e-06	3.374092664178732e-05	0.999934124352619
Node_78	0.0029669659260901315	0.05683243244469199	0.008938477572674285	0.381617565784624	0.5496445582719195
Node_82	7.661730433313054e-06	0.9987246419775893	2.315643065934917e-05	0.00025496409912120077	0.0009895757621967833
ERR7253713	0.0	1.0	0.0	0.0	0.0
ERR363480	0.0	0.0	0.0	0.0	1.0
ERR363427	0.0	0.0	0.0	0.0	1.0
SRR12051657	0.0	0.0	0.0	0.0	1.0
Node_89	2.6317063132671845e-07	2.893604150018456e-06	7.906545440952518e-07	3.0764085727233806e-06	0.9999929761621019
Node_56	1.836719894200438e-13	2.0182828393739326e-12	5.500194100562982e-13	2.1465422604524618e-12	0.9999999999951016
Node_57	1.836719894200438e-13	2.0182828393739326e-12	5.500194100562982e-13	2.1465422604524618e-12	0.9999999999951016
Node_59	1.9542562434657438e-13	2.1474378608027114e-12	5.852165433249235e-13	2.2839049263805947e-12	0.9999999999947881
Node_61	2.4693636675124386e-07	2.7134645462547526e-06	7.394692853863212e-07	2.8859019197636994e-06	0.9999934142278818
SRR5483266	0.0	0.0	0.0	0.0	1.0
ERR459968	0.0	0.0	1.0	0.0	0.0
ERR4298313	0.0	1.0	0.0	0.0	0.0
ERR7253688	0.0	1.0	0.0	0.0	0.0
SRR5483262	0.0	0.0	0.0	0.0	1.0
SRR5483261	0.0	0.0	0.0	0.0	1.0
SRR12574875	0.0	0.0	0.0	0.0	1.0
Node_77	1.7390185736949814e-10	2.4034873754815187e-09	5.218532285121612e-10	0.9999999793015792	1.7599178342843578e-08
ERR5412431	0.0	0.0	0.0	1.0	0.0
SRR30795571	0.0	0.0	0.0	0.0	1.0
SRR12051543	0.0	0.0	0.0	0.0	1.0
SRR7800508	0.0	0.0	0.0	0.0	1.0
SRR12051523	0.0	0.0	0.0	0.0	1.0
SRR12051770	0.0	0.0	0.0	0.0	1.0
SRR12051522	0.0	0.0	0.0	0.0	1.0
SRR12051559	0.0	0.0	0.0	0.0	1.0
SRR12051503	0.0	0.0	0.0	0.0	1.0
SRR7800510	0.0	0.0	0.0	0.0	1.0
SRR12051737	0.0	0.0	0.0	0.0	1.0
Node_60	0.0003205773879123741	0.003522670183719886	0.0009599927911316979	0.0037465315918445	0.9914502280453916
ERR374181	0.0	0.0	0.0	1.0	0.0
ERR340551	0.0	0.0	0.0	1.0	0.0
SRR12051691	0.0	0.0	0.0	0.0	1.0
SRR7800425	0.0	0.0	0.0	0.0	1.0
