node	Australia	Canada	Czech Republic	Denmark	Germany	Ireland	Netherlands	Spain	Sweden	UK	USA
Node_112	7.176858462565897e-12	5.315467593800972e-12	1.3097169558346274e-12	3.893373570447132e-12	6.017665403014577e-12	9.162313746919904e-12	7.864700445151854e-12	1.2854820217232408e-12	2.596275457124958e-12	0.9999999999530705	2.30768669736619e-12
Node_113	3.652119898709624e-14	2.7049056451635757e-14	6.664814947860983e-15	1.9812383320170864e-14	3.0622361687055645e-14	4.6624673633052047e-14	4.002145108818111e-14	6.541489560337178e-15	1.3211782437667315e-14	0.9999999999997612	1.1743227975381174e-14
SRR7800640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_134	2.9198451437571738e-12	2.1625544858251613e-12	5.328473538492784e-13	1.5839863684414175e-12	2.448236676334717e-12	5.240984852264795e-12	3.1996873846259256e-12	5.229875984985898e-13	1.0562728847857903e-12	3.002784848545098e-11	0.9999999999503048
ERR4020099	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_136	4.931544244146839e-13	3.6524983440830754e-13	8.999657937858664e-14	2.675313181388475e-13	4.1350102379262296e-13	0.9999999999923265	5.404191606039535e-13	8.833128737570064e-14	1.7840183653797438e-13	5.071628132962411e-12	1.6520639641106065e-13
Node_149	1.9282773172630482e-05	1.4281590835570098e-05	0.9988343315377948	1.0460710618924273e-05	2.0646290536054564e-05	2.461729165519396e-05	2.1130866065855082e-05	3.4538312832398115e-06	6.975669237217827e-06	0.0007911862839510078	0.0002536331548496263
Node_150	4.701736692018201e-10	3.482293705928411e-10	5.280197267413549e-09	2.550644894346754e-10	4.01485315890698e-10	6.002457343516729e-10	5.152358917793938e-10	8.421509254440105e-11	1.7008839812612547e-10	0.9999999913231066	5.519582827755155e-10
Node_154	7.443545089384951e-08	5.512986352171532e-08	1.277002575695368e-07	4.0380483897142186e-08	8.166062310584152e-08	9.50277840088111e-08	8.156946769577173e-08	1.3332495620709245e-08	2.6927510908876316e-08	0.9999983197386297	1.0840974330746406e-06
Node_197	0.0009680213084458817	0.0007169551870783736	0.0038065814204400203	0.0005251418294420612	0.06266931845193904	0.0012358213554182753	0.0010607980726940114	0.00017338700445304413	0.0003501880358178333	0.8944598278479311	0.03403395948634033
Node_211	2.20428116870581e-08	1.7345020946303757e-07	4.022630108853385e-09	1.1958003768924416e-08	2.6660795183912115e-08	2.8140886132567496e-08	2.415543310572207e-08	3.948195204636923e-09	7.974134618857212e-09	2.303725894042277e-07	0.9999994672743113
Node_216	4.1667237946850785e-06	3.0861871461357052e-06	7.603924251263753e-07	2.2604057754040376e-06	3.493958515868236e-06	5.3194348127305624e-06	4.566069499005818e-06	7.463221634083994e-07	1.5073395686339242e-06	4.285082775920576e-05	0.9999312423385398
Node_223	3.276153005917337e-07	2.47139542380614e-07	5.978706658000165e-08	1.777280074297051e-07	2.7481056517384636e-07	4.1824904192431003e-07	3.590144932037708e-07	5.868076981863368e-08	1.1851697648954535e-07	3.3692781704246285e-06	0.999994589180066
Node_861	1.1016464307258357e-07	8.90497162480506e-06	2.0104126137982395e-08	5.97631977223821e-08	9.237104998060252e-08	1.406413158601794e-07	1.2072297688626866e-07	1.9732120438276485e-08	3.985277051386602e-08	1.2573086689495156e-06	0.9999892343675056
